window_index,start_sec,end_sec,label,label_index,reason,airflow_min,airflow_median,low_airflow_fraction,very_low_airflow_fraction,very_low_airflow_run_sec,low_airflow_run_sec,spo2_min,spo2_drop,low_spo2_run_sec,movement_high_fraction,movement_high_run_sec,snoring_high_fraction,snoring_high_run_sec
43,2580,2640,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,93.0,2.0,0.0,0.0,0.0,0.0,0.0
44,2640,2700,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,31.0,26.0,0.06666666666666667,4.0,0.0,0.0
45,2700,2760,Normal,0,No sustained airflow reduction with oxygen drop,30.289583333332907,31.0,0.0,0.0,0.0,0.0,65.0,32.0,22.666666666666668,0.03888888888888889,2.3333333333333335,0.0,0.0
46,2760,2820,Normal,0,No sustained airflow reduction with oxygen drop,30.296874999999645,31.0,0.0,0.0,0.0,0.0,92.0,4.0,0.0,0.0,0.0,0.0,0.0
47,2820,2880,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,34.0,6.333333333333333,0.0,0.0,0.0,0.0
48,2880,2940,Normal,0,No sustained airflow reduction with oxygen drop,31.0,31.0,0.0,0.0,0.0,0.0,92.0,3.0,0.0,0.0,0.0,0.0,0.0
49,2940,3000,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,34.0,8.0,0.0,0.0,0.0,0.0
50,3000,3060,Normal,0,No sustained airflow reduction with oxygen drop,31.0,31.0,0.0,0.0,0.0,0.0,91.0,8.0,0.0,0.0,0.0,0.0,0.0
51,3060,3120,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,81.0,16.0,6.333333333333333,0.0,0.0,0.022222222222222223,1.0
52,3120,3180,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,31.0,16.333333333333332,0.03333333333333333,2.0,0.0,0.0
53,3180,3240,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,83.0,16.0,6.0,0.06666666666666667,4.0,0.03333333333333333,0.6666666666666666
54,3240,3300,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,33.0,6.333333333333333,0.0,0.0,0.0,0.0
55,3300,3360,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,70.0,28.0,14.0,0.027777777777777776,1.6666666666666667,0.0,0.0
56,3360,3420,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,76.0,21.0,20.333333333333332,0.1,4.0,0.03333333333333333,2.0
57,3420,3480,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,74.0,23.0,14.0,0.16111111111111112,8.0,0.0,0.0
58,3480,3540,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,85.0,11.0,6.0,0.1,4.0,0.0,0.0
59,3540,3600,Normal,0,No sustained airflow reduction with oxygen drop,21.986500519216545,31.0,0.0,0.0,0.0,0.0,89.0,8.0,0.0,0.06666666666666667,4.0,0.0,0.0
60,3600,3660,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.954166666665814,15.335416666667545,0.19444444444444445,0.05555555555555555,1.0,2.0,71.0,26.0,9.666666666666666,0.1,4.333333333333333,0.0,0.0
61,3660,3720,HSA,3,Reduced airflow + oxygen drop,8.646997929604037,14.627086202013937,0.08888888888888889,0.0,0.0,1.0,93.0,6.0,0.0,0.16111111111111112,6.0,0.03888888888888889,1.3333333333333333
62,3720,3780,Normal,0,No sustained airflow reduction with oxygen drop,5.45833333332984,14.800465838509872,0.11666666666666667,0.005555555555555556,0.3333333333333333,2.0,93.0,3.0,0.0,0.0,0.0,0.0,0.0
63,3780,3840,Normal,0,No sustained airflow reduction with oxygen drop,10.616822429906833,14.487263110072217,0.07222222222222222,0.0,0.0,1.3333333333333333,93.0,3.0,0.0,0.05555555555555555,1.6666666666666667,0.0,0.0
64,3840,3900,Normal,0,No sustained airflow reduction with oxygen drop,11.255208333335458,14.468481495859157,0.07777777777777778,0.0,0.0,1.0,93.0,3.0,0.0,0.06666666666666667,2.0,0.0,0.0
65,3900,3960,HSA,3,Reduced airflow + oxygen drop,10.0,14.462500000000528,0.08888888888888889,0.0,0.0,1.6666666666666667,90.0,6.0,0.0,0.0,0.0,0.0,0.0
66,3960,4020,HSA,3,Reduced airflow + oxygen drop,11.237499999999947,14.55295950155744,0.027777777777777776,0.0,0.0,0.6666666666666666,90.0,6.0,0.0,0.06666666666666667,4.0,0.0,0.0
67,4020,4080,HSA,3,Reduced airflow + oxygen drop,9.612836438923747,14.641904742428661,0.06666666666666667,0.0,0.0,1.0,85.0,12.0,12.333333333333334,0.1,6.0,0.0,0.0
68,4080,4140,Normal,0,No sustained airflow reduction with oxygen drop,11.02691511387146,14.659404205605995,0.03888888888888889,0.0,0.0,0.3333333333333333,93.0,3.0,0.0,0.027777777777777776,1.6666666666666667,0.0,0.0
69,4140,4200,CSA,2,Very low airflow + oxygen drop + low movement/snoring,4.899273104877033,14.858255451717064,0.12777777777777777,0.016666666666666666,1.0,1.6666666666666667,65.0,31.0,10.333333333333334,0.016666666666666666,1.0,0.0,0.0
70,4200,4260,Normal,0,No sustained airflow reduction with oxygen drop,6.021875000001572,14.659937888198801,0.05555555555555555,0.005555555555555556,0.3333333333333333,1.3333333333333333,93.0,3.0,0.0,0.027777777777777776,1.0,0.05,2.0
71,4260,4320,HSA,3,Reduced airflow + oxygen drop,11.37669376693293,14.570833333331361,0.016666666666666666,0.0,0.0,0.3333333333333333,65.0,30.0,14.333333333333334,0.05555555555555555,3.3333333333333335,0.0,0.0
72,4320,4380,HSA,3,Reduced airflow + oxygen drop,11.79166666667235,14.606434132996245,0.027777777777777776,0.0,0.0,0.6666666666666666,88.0,8.0,5.666666666666667,0.0,0.0,0.0,0.0
73,4380,4440,HSA,3,Reduced airflow + oxygen drop,10.537499999999147,14.633469202897452,0.027777777777777776,0.0,0.0,0.6666666666666666,77.0,22.0,6.333333333333333,0.06666666666666667,4.0,0.0,0.0
74,4440,4500,HSA,3,Reduced airflow + oxygen drop,11.0,14.531758091233566,0.03888888888888889,0.0,0.0,1.3333333333333333,65.0,31.0,10.333333333333334,0.0,0.0,0.0,0.0
75,4500,4560,HSA,3,Reduced airflow + oxygen drop,11.047916666665104,14.787072988443958,0.044444444444444446,0.0,0.0,0.6666666666666666,82.0,14.0,5.666666666666667,0.0,0.0,0.0,0.0
76,4560,4620,HSA,3,Reduced airflow + oxygen drop,9.258333333317985,14.634057971014922,0.03888888888888889,0.0,0.0,0.3333333333333333,65.0,31.0,4.0,0.03333333333333333,2.0,0.0,0.0
77,4620,4680,HSA,3,Reduced airflow + oxygen drop,12.0,14.800103842161636,0.005555555555555556,0.0,0.0,0.3333333333333333,65.0,30.0,5.666666666666667,0.0,0.0,0.03888888888888889,1.3333333333333333
78,4680,4740,HSA,3,Reduced airflow + oxygen drop,12.0,14.643182113187994,0.016666666666666666,0.0,0.0,0.3333333333333333,84.329192546583,11.670807453416998,4.0,0.14444444444444443,6.333333333333333,0.0,0.0
79,4740,4800,HSA,3,Reduced airflow + oxygen drop,11.253374870195156,14.98646723646739,0.027777777777777776,0.0,0.0,0.3333333333333333,65.0,32.0,8.333333333333334,0.0,0.0,0.0,0.0
80,4800,4860,HSA,3,Reduced airflow + oxygen drop,11.472481827622067,14.640406581995748,0.011111111111111112,0.0,0.0,0.3333333333333333,75.0,21.0,9.0,0.06666666666666667,4.0,0.0,0.0
81,4860,4920,HSA,3,Reduced airflow + oxygen drop,10.09791666666965,14.96206678348986,0.06111111111111111,0.0,0.0,2.0,72.0,26.0,6.0,0.06111111111111111,2.0,0.0,0.0
82,4920,4980,HSA,3,Reduced airflow + oxygen drop,11.029220779217875,14.76191704893035,0.011111111111111112,0.0,0.0,0.3333333333333333,72.0,27.0,5.0,0.0,0.0,0.05555555555555555,2.6666666666666665
83,4980,5040,HSA,3,Reduced airflow + oxygen drop,10.833333333324807,14.835891396297129,0.022222222222222223,0.0,0.0,0.6666666666666666,65.0,32.0,6.666666666666667,0.07222222222222222,4.333333333333333,0.0,0.0
84,5040,5100,HSA,3,Reduced airflow + oxygen drop,10.0,14.855072463769712,0.05,0.0,0.0,1.6666666666666667,88.0,6.0,1.3333333333333333,0.0,0.0,0.0,0.0
85,5100,5160,HSA,3,Reduced airflow + oxygen drop,11.0,14.972947494805243,0.044444444444444446,0.0,0.0,0.6666666666666666,89.0,6.0,0.0,0.0,0.0,0.0,0.0
86,5160,5220,HSA,3,Reduced airflow + oxygen drop,11.034267912779478,14.722598946898088,0.027777777777777776,0.0,0.0,0.3333333333333333,84.0,15.0,8.0,0.0,0.0,0.027777777777777776,1.6666666666666667
87,5220,5280,MSA,4,Very low airflow + oxygen drop + both movement and snoring activity,1.0,14.746376811593468,0.16666666666666666,0.1111111111111111,1.3333333333333333,1.6666666666666667,65.0,30.0,26.0,0.06111111111111111,2.0,0.044444444444444446,1.6666666666666667
88,5280,5340,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.0,14.437514108990538,0.3277777777777778,0.21666666666666667,1.3333333333333333,1.6666666666666667,65.0,31.0,14.666666666666666,0.06666666666666667,4.0,0.0,0.0
89,5340,5400,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.0,14.020833333331911,0.23333333333333334,0.10555555555555556,1.3333333333333333,1.6666666666666667,65.0,19.0,60.0,0.06666666666666667,4.0,0.0,0.0
90,5400,5460,MSA,4,Very low airflow + oxygen drop + both movement and snoring activity,1.0,14.0,0.1388888888888889,0.044444444444444446,2.0,2.3333333333333335,65.0,34.0,42.0,0.1,6.0,0.03888888888888889,1.0
91,5460,5520,MSA,4,Very low airflow + oxygen drop + both movement and snoring activity,1.0,15.0,0.21666666666666667,0.1,1.3333333333333333,1.6666666666666667,65.0,31.0,16.333333333333332,0.16666666666666666,4.0,0.027777777777777776,1.3333333333333333
92,5520,5580,CSA,2,Very low airflow + oxygen drop + low movement/snoring,4.114906832296084,14.739583333334043,0.16666666666666666,0.044444444444444446,1.0,2.0,65.0,29.0,2.0,0.0,0.0,0.0,0.0
93,5580,5640,OSA,1,Very low airflow + oxygen drop + obstruction signal,5.0062111801254865,14.445697040495196,0.16111111111111112,0.022222222222222223,1.0,2.3333333333333335,90.0,4.0,0.0,0.09444444444444444,4.0,0.0,0.0
94,5640,5700,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.0,14.320341705606241,0.2111111111111111,0.10555555555555556,1.3333333333333333,1.6666666666666667,82.0,13.0,10.0,0.07222222222222222,4.333333333333333,0.011111111111111112,0.6666666666666666
95,5700,5760,MSA,4,Very low airflow + oxygen drop + both movement and snoring activity,1.0,14.0,0.18888888888888888,0.1,1.0,1.6666666666666667,94.0,5.0,0.0,0.2388888888888889,14.333333333333334,0.027777777777777776,1.0
96,5760,5820,CSA,2,Very low airflow + oxygen drop + low movement/snoring,1.0197916666706606,14.0,0.20555555555555555,0.12222222222222222,1.6666666666666667,1.6666666666666667,90.0,6.0,0.0,0.0,0.0,0.0,0.0
97,5820,5880,MSA,4,Very low airflow + oxygen drop + both movement and snoring activity,1.0,14.341145833327328,0.24444444444444444,0.1388888888888889,1.6666666666666667,2.0,68.0,31.0,18.333333333333332,0.027777777777777776,1.6666666666666667,0.05,3.0
98,5880,5940,OSA,1,Very low airflow + oxygen drop + obstruction signal,2.3333333333465966,15.0,0.2722222222222222,0.15555555555555556,1.3333333333333333,1.3333333333333333,65.0,34.0,16.333333333333332,0.03888888888888889,2.3333333333333335,0.0,0.0
99,5940,6000,OSA,1,Very low airflow + oxygen drop + obstruction signal,2.3124999999957367,15.0,0.25,0.1388888888888889,2.0,2.0,65.0,32.0,16.333333333333332,0.027777777777777776,1.6666666666666667,0.0,0.0
100,6000,6060,OSA,1,Very low airflow + oxygen drop + obstruction signal,2.022916666665672,14.17781671858719,0.2222222222222222,0.12777777777777777,1.3333333333333333,1.6666666666666667,82.0,15.0,12.0,0.03333333333333333,2.0,0.0,0.0
101,6060,6120,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.072463768110907,14.151636904762862,0.2777777777777778,0.12777777777777777,1.3333333333333333,1.6666666666666667,89.0,8.0,0.0,0.027777777777777776,1.6666666666666667,0.0,0.0
102,6120,6180,MSA,4,Very low airflow + oxygen drop + both movement and snoring activity,5.0,14.219384410696211,0.15,0.044444444444444446,1.0,1.6666666666666667,65.0,32.0,10.333333333333334,0.03333333333333333,2.0,0.05555555555555555,1.6666666666666667
103,6180,6240,OSA,1,Very low airflow + oxygen drop + obstruction signal,2.865625000000924,14.0,0.17222222222222222,0.06666666666666667,1.0,1.6666666666666667,81.0,15.0,6.0,0.1388888888888889,4.333333333333333,0.0,0.0
104,6240,6300,CSA,2,Very low airflow + oxygen drop + low movement/snoring,7.21079958462903,14.796354166669047,0.12222222222222222,0.005555555555555556,0.3333333333333333,1.0,65.0,32.0,14.0,0.0,0.0,0.0,0.0
105,6300,6360,Normal,0,No sustained airflow reduction with oxygen drop,7.691588785046147,15.01973325545149,0.15,0.011111111111111112,0.6666666666666666,1.3333333333333333,96.0,1.0,0.0,0.0,0.0,0.0,0.0
106,6360,6420,OSA,1,Very low airflow + oxygen drop + obstruction signal,8.0,15.336458333333972,0.25,0.016666666666666666,0.3333333333333333,1.3333333333333333,65.0,34.0,2.0,0.0,0.0,0.10555555555555556,2.0
107,6420,6480,CSA,2,Very low airflow + oxygen drop + low movement/snoring,6.1145833333337185,14.827600931675844,0.17222222222222222,0.03888888888888889,0.6666666666666666,1.3333333333333333,94.0,4.0,0.0,0.0,0.0,0.0,0.0
108,6480,6540,HSA,3,Reduced airflow + oxygen drop,11.0,14.32638453448475,0.06111111111111111,0.0,0.0,1.0,92.0,5.0,0.0,0.0,0.0,0.0,0.0
109,6540,6600,CSA,2,Very low airflow + oxygen drop + low movement/snoring,10.229813664595643,14.0,0.12222222222222222,0.0,0.0,1.0,92.65624999999787,4.343750000002132,0.0,0.0,0.0,0.0,0.0
110,6600,6660,OSA,1,Very low airflow + oxygen drop + obstruction signal,2.049844236736293,14.254166666667153,0.20555555555555555,0.06666666666666667,1.0,1.6666666666666667,65.0,31.0,15.333333333333334,0.0,0.0,0.027777777777777776,1.6666666666666667
111,6660,6720,MSA,4,Very low airflow + oxygen drop + both movement and snoring activity,1.0,14.9307291666669,0.32222222222222224,0.20555555555555555,1.3333333333333333,1.6666666666666667,65.0,34.0,25.0,0.1388888888888889,6.333333333333333,0.03333333333333333,1.0
112,6720,6780,MSA,4,Very low airflow + oxygen drop + both movement and snoring activity,1.0,15.561333333334717,0.2722222222222222,0.18333333333333332,1.3333333333333333,1.6666666666666667,65.0,30.857142857149825,12.333333333333334,0.05555555555555555,1.6666666666666667,0.044444444444444446,1.6666666666666667
113,6780,6840,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.3041666666663825,14.924479166666318,0.3,0.13333333333333333,1.0,1.3333333333333333,65.0,34.0,22.0,0.044444444444444446,2.6666666666666665,0.0,0.0
114,6840,6900,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.0,14.80843361800903,0.25555555555555554,0.13333333333333333,1.0,1.6666666666666667,65.0,32.0,26.0,0.0,0.0,0.06666666666666667,1.6666666666666667
115,6900,6960,CSA,2,Very low airflow + oxygen drop + low movement/snoring,3.0,14.66202445652221,0.25,0.07222222222222222,1.0,2.0,78.0,19.0,10.666666666666666,0.0,0.0,0.0,0.0
116,6960,7020,Normal,0,No sustained airflow reduction with oxygen drop,6.268749999998152,14.284895833333369,0.2611111111111111,0.016666666666666666,0.3333333333333333,1.6666666666666667,95.0,1.0,0.0,0.1,6.0,0.0,0.0
117,7020,7080,CSA,2,Very low airflow + oxygen drop + low movement/snoring,6.50051921079969,14.487256619936513,0.23333333333333334,0.03333333333333333,0.6666666666666666,1.6666666666666667,87.0,10.0,5.666666666666667,0.0,0.0,0.0,0.0
118,7080,7140,CSA,2,Very low airflow + oxygen drop + low movement/snoring,7.1375000000050095,14.33333333333523,0.20555555555555555,0.016666666666666666,0.6666666666666666,2.0,65.0,32.0,14.0,0.0,0.0,0.0,0.0
119,7140,7200,Normal,0,No sustained airflow reduction with oxygen drop,8.0,14.703530633436195,0.25,0.005555555555555556,0.3333333333333333,2.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0
120,7200,7260,OSA,1,Very low airflow + oxygen drop + obstruction signal,4.398550724636822,14.319879011387252,0.19444444444444445,0.05555555555555555,1.0,1.6666666666666667,65.0,32.0,6.333333333333333,0.1,4.0,0.0,0.0
121,7260,7320,OSA,1,Very low airflow + oxygen drop + obstruction signal,6.520055325034892,14.0,0.17222222222222222,0.022222222222222223,0.6666666666666666,1.6666666666666667,65.0,32.0,2.0,0.0,0.0,0.044444444444444446,1.3333333333333333
122,7320,7380,CSA,2,Very low airflow + oxygen drop + low movement/snoring,2.1619937694694515,14.925233644858881,0.24444444444444444,0.08888888888888889,1.3333333333333333,1.3333333333333333,74.0,24.0,12.0,0.0,0.0,0.0,0.0
123,7380,7440,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.0,14.54533149696139,0.15,0.05,1.6666666666666667,2.0,78.0,20.0,12.0,0.1,4.0,0.0,0.0
124,7440,7500,CSA,2,Very low airflow + oxygen drop + low movement/snoring,1.3944099378893215,14.877777777778347,0.18888888888888888,0.05555555555555555,1.6666666666666667,1.6666666666666667,65.0,33.0,12.0,0.0,0.0,0.0,0.0
125,7500,7560,CSA,2,Very low airflow + oxygen drop + low movement/snoring,6.928125000002344,15.0,0.21666666666666667,0.027777777777777776,1.0,2.0,80.0,18.0,4.0,0.0,0.0,0.0,0.0
126,7560,7620,OSA,1,Very low airflow + oxygen drop + obstruction signal,7.012422360248149,15.01090342679067,0.14444444444444443,0.03333333333333333,1.0,1.3333333333333333,65.0,34.0,16.333333333333332,0.0,0.0,0.044444444444444446,1.6666666666666667
127,7620,7680,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.6719787516623124,14.43942107996027,0.15,0.05555555555555555,2.3333333333333335,2.3333333333333335,79.0,18.0,18.333333333333332,0.06666666666666667,4.0,0.0,0.0
128,7680,7740,CSA,2,Very low airflow + oxygen drop + low movement/snoring,4.0,15.31047496880499,0.18333333333333332,0.07777777777777778,1.0,1.6666666666666667,65.0,33.0,34.333333333333336,0.0,0.0,0.0,0.0
129,7740,7800,Normal,0,No sustained airflow reduction with oxygen drop,3.7281249999955235,15.0,0.2222222222222222,0.10555555555555556,1.6666666666666667,2.0,96.0,2.0,0.0,0.027777777777777776,1.6666666666666667,0.0,0.0
130,7800,7860,Normal,0,No sustained airflow reduction with oxygen drop,6.4898373983733135,15.0,0.21666666666666667,0.06666666666666667,1.3333333333333333,1.6666666666666667,96.0,2.0,0.0,0.0,0.0,0.0,0.0
131,7860,7920,OSA,1,Very low airflow + oxygen drop + obstruction signal,1.0,15.0,0.24444444444444444,0.08333333333333333,1.6666666666666667,1.6666666666666667,65.0,33.0,12.0,0.1,6.0,0.0,0.0
132,7920,7980,OSA,1,Very low airflow + oxygen drop + obstruction signal,4.823958333334257,14.72656249999844,0.19444444444444445,0.06666666666666667,1.3333333333333333,1.6666666666666667,65.0,33.0,3.0,0.12777777777777777,6.0,0.0,0.0
